char,pca_3,pca_5,pca_7
88,[784.44289677 349.44142769 181.98717285],[ 784.44289677  349.44142769  181.98717285  193.65139578 -260.79930913],"[ 784.44289677  349.44142769  181.98717285  193.65139578 -260.79930913
 -129.17598582  562.24787791]"
89,[ 680.57909198 -105.09340862  382.4782812 ],[ 680.57909198 -105.09340862  382.4782812    42.32934582 -322.14440867],"[ 680.57909198 -105.09340862  382.4782812    42.32934582 -322.14440867
 -432.51180999  139.02541506]"
90,[770.12403473 108.34759079 284.10948023],[ 770.12403473  108.34759079  284.10948023 -241.87446099   43.8920958 ],"[ 770.12403473  108.34759079  284.10948023 -241.87446099   43.8920958
 -171.40810874  235.05307966]"
91,[ 109.98178145 -538.74777325  351.5155805 ],[ 109.98178145 -538.74777325  351.5155805   149.16906947 -260.09462681],"[ 109.98178145 -538.74777325  351.5155805   149.16906947 -260.09462681
  -59.06916449 -293.10032252]"
92,[  71.54089636 -253.44895911   96.26283678],[  71.54089636 -253.44895911   96.26283678  -22.25788593 -153.17459747],"[  71.54089636 -253.44895911   96.26283678  -22.25788593 -153.17459747
 -173.26546391   28.24275163]"
93,[ 115.64485852 -383.2279058   204.25256401],[ 115.64485852 -383.2279058   204.25256401  190.97933851   15.6254578 ],"[ 115.64485852 -383.2279058   204.25256401  190.97933851   15.6254578
  323.22713324  124.84135815]"
94,[   4.77724064 -187.37295051  -35.71275787],[   4.77724064 -187.37295051  -35.71275787 -145.3737124  -167.11776917],"[   4.77724064 -187.37295051  -35.71275787 -145.3737124  -167.11776917
  193.98036502   78.51710759]"
95,[-229.40088255 -137.954793    -65.86926474],[-229.40088255 -137.954793    -65.86926474   20.78628192 -135.68978427],"[-229.40088255 -137.954793    -65.86926474   20.78628192 -135.68978427
   51.97011826  -14.7062963 ]"
96,[-165.96302731 -141.67364387   68.52190921],[-165.96302731 -141.67364387   68.52190921 -133.62930041  -39.78926477],"[-165.96302731 -141.67364387   68.52190921 -133.62930041  -39.78926477
   98.83139727   30.25037546]"
97,[ 421.81636547 -205.08990526 -212.93935582],[ 421.81636547 -205.08990526 -212.93935582  154.39716778  415.38435731],"[ 421.81636547 -205.08990526 -212.93935582  154.39716778  415.38435731
  -49.58745837  100.57482383]"
98,[ 553.17766697  -28.56317936 -343.05832098],[ 553.17766697  -28.56317936 -343.05832098 -159.22557237   46.93374616],"[ 553.17766697  -28.56317936 -343.05832098 -159.22557237   46.93374616
 -202.74229097 -303.44489205]"
99,[ 263.46643847 -136.73464101 -230.51494054],[ 263.46643847 -136.73464101 -230.51494054  -41.81165449  368.81535108],"[ 263.46643847 -136.73464101 -230.51494054  -41.81165449  368.81535108
 -134.76690709  -75.16714218]"
100,[561.98315673 -92.74645664   1.41244642],[561.98315673 -92.74645664   1.41244642  42.34440435 532.68686405],"[561.98315673 -92.74645664   1.41244642  42.34440435 532.68686405
 324.12265015 204.7632088 ]"
101,[ 351.43027916 -217.29831136 -189.12966907],[ 351.43027916 -217.29831136 -189.12966907   13.1610491   363.70559268],"[ 351.43027916 -217.29831136 -189.12966907   13.1610491   363.70559268
 -136.17498439  -29.9661388 ]"
102,[ 452.11425013 -161.69652848 -190.80891456],[ 452.11425013 -161.69652848 -190.80891456 -336.79236932   -9.86201376],"[ 452.11425013 -161.69652848 -190.80891456 -336.79236932   -9.86201376
 -120.95840308  -56.67921353]"
103,[ 445.60783833 -277.55646806 -347.28268267],[ 445.60783833 -277.55646806 -347.28268267  251.60742167 -259.07957691],"[ 445.60783833 -277.55646806 -347.28268267  251.60742167 -259.07957691
   88.44546309   54.01354068]"
104,[ 663.5201275   148.93780037 -175.43759561],[ 663.5201275   148.93780037 -175.43759561  154.59117115  364.44021811],"[ 663.5201275   148.93780037 -175.43759561  154.59117115  364.44021811
  -56.94182343  278.01756337]"
105,[ 189.44784872 -361.61929394  267.21995293],[ 189.44784872 -361.61929394  267.21995293   11.21301806  153.24788169],"[ 189.44784872 -361.61929394  267.21995293   11.21301806  153.24788169
 -182.99246556    0.69724595]"
106,[  84.97234659 -396.3362022    91.9829368 ],[  84.97234659 -396.3362022    91.9829368    98.41569045 -261.20713279],"[  84.97234659 -396.3362022    91.9829368    98.41569045 -261.20713279
 -191.01829087 -162.52234694]"
107,[ 671.54497691   69.73609472 -120.4142406 ],[ 671.54497691   69.73609472 -120.4142406   130.80406329  127.65497305],"[ 671.54497691   69.73609472 -120.4142406   130.80406329  127.65497305
 -334.29953603  161.51801879]"
108,[ 239.57406545 -486.20146124  407.57724035],[ 239.57406545 -486.20146124  407.57724035   46.43975392  110.89944758],"[ 239.57406545 -486.20146124  407.57724035   46.43975392  110.89944758
   30.91456086  -44.16253982]"
109,[382.03101531 210.87169168  73.41281479],[382.03101531 210.87169168  73.41281479 330.57902888  66.75141694],"[ 382.03101531  210.87169168   73.41281479  330.57902888   66.75141694
 -507.11962301 -309.94728893]"
110,[ 553.46787223  -21.74590688 -446.53428231],[ 553.46787223  -21.74590688 -446.53428231   96.72204937  309.605893  ],"[ 553.46787223  -21.74590688 -446.53428231   96.72204937  309.605893
 -214.05237369 -131.33980844]"
111,[ 371.99534547  -77.00278457 -358.65309432],[ 371.99534547  -77.00278457 -358.65309432    0.71383194  347.75319581],"[ 371.99534547  -77.00278457 -358.65309432    0.71383194  347.75319581
 -118.18603055 -327.44992842]"
112,[ 375.60481688 -113.66190747 -459.81990578],[ 375.60481688 -113.66190747 -459.81990578  152.842141   -390.89104009],"[ 375.60481688 -113.66190747 -459.81990578  152.842141   -390.89104009
   89.74359935 -185.06054793]"
113,[ 367.21641904 -122.83298102 -510.03485523],[ 367.21641904 -122.83298102 -510.03485523  284.89860982 -260.97660416],"[ 367.21641904 -122.83298102 -510.03485523  284.89860982 -260.97660416
  277.48122436 -156.20873203]"
114,[ 274.53565891 -341.61984816  -18.27983577],[ 274.53565891 -341.61984816  -18.27983577   36.83679438   86.93939131],"[ 274.53565891 -341.61984816  -18.27983577   36.83679438   86.93939131
 -411.48058111 -130.52383361]"
115,[ 254.84450157 -314.27500519  -72.15477196],[ 254.84450157 -314.27500519  -72.15477196  194.16297012  264.71210595],"[ 254.84450157 -314.27500519  -72.15477196  194.16297012  264.71210595
 -152.40758904   48.97556583]"
116,[ 183.76097273 -410.0836962    63.19906574],[ 183.76097273 -410.0836962    63.19906574  110.36201041   14.5020063 ],"[ 183.76097273 -410.0836962    63.19906574  110.36201041   14.5020063
 -335.3976309  -159.19713454]"
117,[ 427.16786268  -26.04413297 -273.03839705],[ 427.16786268  -26.04413297 -273.03839705  196.16928145  530.33219201],"[ 427.16786268  -26.04413297 -273.03839705  196.16928145  530.33219201
   99.88801712   79.3234012 ]"
118,[ 159.64356927 -244.96622478 -233.73455137],[ 159.64356927 -244.96622478 -233.73455137  199.62353616  -69.19637004],"[ 159.64356927 -244.96622478 -233.73455137  199.62353616  -69.19637004
 -223.70904645  -60.76773606]"
119,[273.81449733   5.59521301  11.5393793 ],[273.81449733   5.59521301  11.5393793  377.60840948 413.43393584],"[273.81449733   5.59521301  11.5393793  377.60840948 413.43393584
   3.73376823  -3.97154106]"
120,[ 412.27257391 -233.35425049 -107.6364335 ],[ 412.27257391 -233.35425049 -107.6364335   275.86992922  225.04544122],"[ 412.27257391 -233.35425049 -107.6364335   275.86992922  225.04544122
 -344.8234514   153.13661998]"
121,[ 147.29461264 -247.94102845  -53.73900556],[ 147.29461264 -247.94102845  -53.73900556   39.05606266 -285.68806327],"[ 147.29461264 -247.94102845  -53.73900556   39.05606266 -285.68806327
  -54.71780608  135.71262799]"
122,[ 410.82904878 -249.50379005  -88.87044953],[ 410.82904878 -249.50379005  -88.87044953   73.97775747  388.65962541],"[ 410.82904878 -249.50379005  -88.87044953   73.97775747  388.65962541
 -333.43354984   -7.38146171]"
123,[  81.47539506 -409.61090341  257.74839482],[  81.47539506 -409.61090341  257.74839482  144.4839729   -70.49613617],"[  81.47539506 -409.61090341  257.74839482  144.4839729   -70.49613617
   65.52601282  -27.34920986]"
124,[  38.9045281  -478.5431354   335.45600576],[  38.9045281  -478.5431354   335.45600576   87.28881002 -165.03122264],"[  38.9045281  -478.5431354   335.45600576   87.28881002 -165.03122264
 -105.53197512 -226.43334413]"
125,[  90.81457678 -452.10161673  239.86857014],[  90.81457678 -452.10161673  239.86857014   68.9248545  -131.12102555],"[  90.81457678 -452.10161673  239.86857014   68.9248545  -131.12102555
  -50.1081875  -180.80120195]"
126,[ -60.15286731  -83.82136945 -110.27081781],[ -60.15286731  -83.82136945 -110.27081781   18.23008459   10.90086394],"[ -60.15286731  -83.82136945 -110.27081781   18.23008459   10.90086394
  -11.13808839   58.4184565 ]"
161,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
162,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
163,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
164,[ 211.78202656  -89.75217106 -412.88115133],[ 211.78202656  -89.75217106 -412.88115133  145.14150223 -328.41971018],"[ 211.78202656  -89.75217106 -412.88115133  145.14150223 -328.41971018
  209.89109674 -123.21848375]"
165,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
166,[ -23.01762449 -420.97317751  287.68813842],[ -23.01762449 -420.97317751  287.68813842   62.34840709 -200.68919691],"[ -23.01762449 -420.97317751  287.68813842   62.34840709 -200.68919691
  -31.56440634 -235.91190028]"
167,[ 273.27655884 -339.85835014 -103.34517006],[ 273.27655884 -339.85835014 -103.34517006  167.00339527 -184.71031946],"[ 273.27655884 -339.85835014 -103.34517006  167.00339527 -184.71031946
  122.26748026 -145.37831996]"
168,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
169,[616.88391927 152.60553942 139.20913821],[ 616.88391927  152.60553942  139.20913821 -153.7123231   -66.06869403],"[ 616.88391927  152.60553942  139.20913821 -153.7123231   -66.06869403
  243.62805299 -202.18087072]"
170,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
171,[ 146.31634276 -126.68602058 -279.17126172],[ 146.31634276 -126.68602058 -279.17126172  114.91851606   94.83298894],"[ 146.31634276 -126.68602058 -279.17126172  114.91851606   94.83298894
   48.45784849   43.96747166]"
172,[ -72.30399881  -39.28495191 -169.65376699],[ -72.30399881  -39.28495191 -169.65376699  165.60526614  133.71337121],"[ -72.30399881  -39.28495191 -169.65376699  165.60526614  133.71337121
 -184.85882351  -54.12428702]"
174,[9.02669090e+02 2.96045130e-01 1.30187211e+02],"[ 9.02669090e+02  2.96045130e-01  1.30187211e+02 -2.56565575e+02
 -2.39205563e+01]","[ 9.02669090e+02  2.96045130e-01  1.30187211e+02 -2.56565575e+02
 -2.39205563e+01  3.43538514e+02 -1.56433826e+02]"
175,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
176,[ -24.55672032 -180.81270367  108.59617458],[ -24.55672032 -180.81270367  108.59617458 -267.64830071 -137.37994682],"[ -24.55672032 -180.81270367  108.59617458 -267.64830071 -137.37994682
  275.97814261   64.04137441]"
177,[ 421.9536426  -273.96495586  133.40005978],[ 421.9536426  -273.96495586  133.40005978  196.0085474   253.40050177],"[ 421.9536426  -273.96495586  133.40005978  196.0085474   253.40050177
 -295.55643756   81.15241122]"
178,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
179,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
180,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
181,[ 394.00909285  -72.50528195 -617.56857211],[ 394.00909285  -72.50528195 -617.56857211   97.08225147 -137.14578496],"[ 394.00909285  -72.50528195 -617.56857211   97.08225147 -137.14578496
  200.40327743   73.1469296 ]"
182,[424.23636506 -40.27163102 198.68918949],[ 424.23636506  -40.27163102  198.68918949  -44.45911178 -530.53411264],"[ 424.23636506  -40.27163102  198.68918949  -44.45911178 -530.53411264
  108.62339207   48.81178969]"
183,[-173.56586791 -140.90432478   36.00048535],[-173.56586791 -140.90432478   36.00048535  -39.29022701   -4.17799539],"[-173.56586791 -140.90432478   36.00048535  -39.29022701   -4.17799539
  -38.70326146  112.73762756]"
184,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
185,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
186,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
187,[ 148.95174919 -146.65571184 -289.55110603],[ 148.95174919 -146.65571184 -289.55110603  104.36983257  115.89485537],"[ 148.95174919 -146.65571184 -289.55110603  104.36983257  115.89485537
   50.02445737   -7.77849842]"
188,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
189,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
190,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
191,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
192,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
193,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
194,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
195,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
196,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
197,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
198,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
199,[-240.93115227   54.48927741   -7.68074332],[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718],"[-240.93115227   54.48927741   -7.68074332  -17.03813235    2.99211718
   -5.64005343    9.91777738]"
