char,pca_3,pca_5,pca_7
256,[  239.17269313 -2088.56705797  2338.27700211],"[  239.17259431 -2088.56516675  2338.28418677    65.45835237
  4517.72019533]","[  239.17254019 -2088.56662887  2338.2784512     65.53585184
  4517.77515485  -870.36072483  -611.067503  ]"
257,[  984.11608614 -1901.01141622 -1828.66819947],"[  984.11632604 -1901.01206172 -1828.64975398 -1652.43019104
   457.24538305]","[  984.11630031 -1901.01268525 -1828.65569431 -1652.38637437
   457.27171563  -115.47674034  1851.75397918]"
258,[  255.30757042 -2072.83664388  2335.44848129],"[  255.30745892 -2072.83434389  2335.45463037   102.91872578
  4556.69007803]","[  255.30740225 -2072.83604903  2335.44748882   103.00625527
  4556.75493219  -960.22479638  -653.74897663]"
259,[  874.68524776 -2075.25908777 -1597.26757297],"[  874.68550772 -2075.2601962  -1597.24799862 -1835.34526467
   404.80714045]","[  874.68547986 -2075.2609616  -1597.25504425 -1835.29783978
   404.82358284    -9.4106827   1786.13279537]"
260,[  948.00504745 -1145.47565389  1202.18485358],"[  948.00525868 -1145.47630278  1202.12767777   382.10877441
  1281.49906121]","[  948.00550347 -1145.46876755  1202.16584796   381.72620172
  1281.24464878  -727.45999789  -708.80565413]"
261,[ -167.9667293  -2047.57437381  1373.96123577],"[ -167.96685533 -2047.57730657  1373.94444811  1034.80172294
  -901.70953559]","[ -167.96670307 -2047.57236896  1373.96174923  1034.61516667
  -901.72977415  -182.60665141  -766.74878796]"
262,[ 2014.62949182  1192.0051436  -1836.04661174],"[ 2014.62928108  1192.00309673 -1836.06578316  1013.31090938
   -44.83843098]","[ 2014.62942906  1192.00676266 -1836.05478805  1013.17127465
   -44.72371695  -616.99916563 -1883.35725334]"
263,[ -248.15530359 -1202.55466906 -1639.8317904 ],"[ -248.15559248 -1202.54948004 -1639.83763185  -776.5291657
    72.7643555 ]","[ -248.15567602 -1202.55207041 -1639.84745557  -776.40966391
    72.8602173    908.9084138   -565.83276697]"
264,[ 2069.3607942   1255.68371122 -1803.89645961],"[ 2069.36059046  1255.68195906 -1803.91130228  1064.87212938
   138.31985839]","[ 2069.36071242  1255.68501257 -1803.90298122  1064.76069525
   138.43126065  -598.00666155 -1957.23784631]"
265,[  -78.06598149 -1016.65393464 -1983.05093217],"[  -78.06622628 -1016.64919631 -1983.06902698  -405.89449311
   238.12355834]","[  -78.06624598 -1016.65006511 -1983.07169185  -405.86056522
   238.1999387    771.17048106  -500.6758629 ]"
266,[ 1996.98769763  1187.55907693 -1836.22339826],"[ 1996.98749893  1187.55656619 -1836.24295177   963.75219716
   -91.14576722]","[ 1996.98765424  1187.56048592 -1836.23071316   963.60093121
   -91.03687486  -557.79001034 -1858.83362827]"
