char,pca_3,pca_5,pca_7
101,[  87.67616819 -368.24181274   75.79291338],[  87.67616819 -368.24181274   75.79291338 -473.74515324 -103.73896769],"[  87.67616819 -368.24181274   75.79291338 -473.74515324 -103.73896769
 -300.91543539  190.08096266]"
102,[-647.47674322   64.88568988   42.44301552],[-647.47674322   64.88568988   42.44301552  -47.51536842  136.77596613],"[-647.47674322   64.88568988   42.44301552  -47.51536842  136.77596613
 -226.9271439   204.67640848]"
103,[  84.53951891 -622.19073802 -134.35166452],[  84.53951891 -622.19073802 -134.35166452  615.72936057 -267.561999  ],"[  84.53951891 -622.19073802 -134.35166452  615.72936057 -267.561999
  213.88633289 -233.71302732]"
104,[ 578.41330214 -292.87467037 -330.68366817],[ 578.41330214 -292.87467037 -330.68366817 -154.65627884 -289.4637599 ],"[ 578.41330214 -292.87467037 -330.68366817 -154.65627884 -289.4637599
  -99.98853045 -192.72166345]"
105,[-641.43878151  286.35788604 -138.88530792],[-641.43878151  286.35788604 -138.88530792 -134.19059946   58.68248583],"[-641.43878151  286.35788604 -138.88530792 -134.19059946   58.68248583
  -26.76487312   90.889108  ]"
106,[-710.0483364   287.57748195 -330.5396123 ],[-710.0483364   287.57748195 -330.5396123    18.4384603   -35.85522717],"[-710.0483364   287.57748195 -330.5396123    18.4384603   -35.85522717
   94.25253614   32.18026485]"
107,[ -37.01493538 -330.29632504  312.27033424],[ -37.01493538 -330.29632504  312.27033424  181.438634   -440.02307452],"[ -37.01493538 -330.29632504  312.27033424  181.438634   -440.02307452
  169.17817815  111.5401216 ]"
108,[-707.97415332  268.54129166 -196.82545788],[-707.97415332  268.54129166 -196.82545788  -61.53706374  140.28258525],"[-707.97415332  268.54129166 -196.82545788  -61.53706374  140.28258525
   10.43723005  109.80247059]"
109,[-291.24401608  403.80009684 -401.30883594],[-291.24401608  403.80009684 -401.30883594  147.38636989 -190.53372876],"[-291.24401608  403.80009684 -401.30883594  147.38636989 -190.53372876
   77.30202705  412.21569591]"
110,[ 421.25156567 -392.13524661 -376.95964273],[ 421.25156567 -392.13524661 -376.95964273 -288.62177043 -145.34427959],"[ 421.25156567 -392.13524661 -376.95964273 -288.62177043 -145.34427959
 -116.82160932 -208.22195653]"
111,[ 471.13064949 -162.5405319  -317.25197122],[ 471.13064949 -162.5405319  -317.25197122 -523.55550582   -8.80896719],"[ 471.13064949 -162.5405319  -317.25197122 -523.55550582   -8.80896719
 -128.72414194  -67.85797212]"
112,[ 374.15743007 -374.20733732 -365.51358754],[ 374.15743007 -374.20733732 -365.51358754  271.14359742 -220.56546689],"[ 374.15743007 -374.20733732 -365.51358754  271.14359742 -220.56546689
 -138.52306736 -389.21936837]"
